"site","start_dt","end_dt","miss_dy","fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","sol","presMax","horaPresMax","presMin","horaPresMin"
"2737E",2013-01-01,2020-12-31,269,0.907971262401642,0.907971262401642,0.907971262401642,0.907971262401642,0.907971262401642,0.894970920287376,0.853917208347588,0.894970920287376,0.907971262401642,0.895655148819706,0.907971262401642,0.889154977762573,0.895313034553541,0.889154977762573,0.907971262401642,NA,0.901471091344509,0.901471091344509,0.901471091344509,0.901471091344509
"2755X",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.998973657201505,0.998289428669175,0.998973657201505,1,0.994184057475197,1,1,1,1
"2811A",2013-01-01,2020-02-16,495,0.830653438248375,0.830653438248375,0.830653438248375,0.830653438248375,0.830653438248375,0.670201847417037,0.594936708860759,0.670543961683202,0.830653438248375,0.670201847417037,0.830653438248375,0.805336982552172,0.810468696544646,0.805336982552172,0.830653438248375,NA,0.0691070817653096,0.0691070817653096,0.0691070817653096,0.0691070817653096
"2867",2013-01-01,2020-12-31,0,1,1,1,1,1,0.998289428669175,1,0.998289428669175,1,0.99863154293534,1,0.990420800547383,0.996920971604516,0.990420800547383,1,0.997263085870681,0.995552514539856,0.995552514539856,0.995552514539856,0.995552514539856
"2870",2013-01-01,2020-12-31,8,0.997263085870681,0.997263085870681,0.997263085870681,0.997263085870681,0.997263085870681,0.968867601778994,0.967499144714335,0.968867601778994,0.997263085870681,0.969209716045159,0.997263085870681,0.993499828942867,0.996236743072186,0.993499828942867,0.997263085870681,NA,0.9483407458091,0.9483407458091,0.9483407458091,0.9483407458091
"2916A",2013-01-01,2020-12-31,6,0.997947314403011,0.997947314403011,0.997947314403011,0.997947314403011,0.997947314403011,0.995552514539856,0.997947314403011,0.995894628806021,0.997947314403011,0.996236743072186,0.997947314403011,0.919603147451249,0.924392747177557,0.919603147451249,0.997947314403011,0.979815258296271,0.990420800547383,0.990420800547383,0.990420800547383,0.990420800547383
"2946X",2013-01-01,2020-12-31,1,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.957577830995552,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.997947314403011,0.997947314403011,0.997947314403011,0.999657885733835,0.992473486144372,0.997947314403011,0.997947314403011,0.997947314403011,0.997947314403011
"3100B",2013-01-01,2020-12-31,62,0.978788915497776,0.978788915497776,0.978788915497776,0.978788915497776,0.978788915497776,0.96442011631885,0.960314745124872,0.96442011631885,0.978788915497776,0.96442011631885,0.978788915497776,0.7612042422169,0.767362299007869,0.7612042422169,0.978788915497776,NA,NA,NA,NA,NA
"3129",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,0.999657885733835,0.999657885733835,1,0.999657885733835,1,0.998973657201505,1,0.998973657201505,1,0.993841943209032,1,1,1,1
"3168D",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,0.999657885733835,0.999657885733835,1,0.993499828942867,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767
"3175",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,0.999657885733835,0.99931577146767,1,0.99931577146767,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835
"3191E",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,1,0.987683886418064,0.99931577146767,0.987683886418064,1,0.997605200136846,0.99931577146767,0.998973657201505,0.99931577146767,0.99931577146767
"3194U",2013-01-01,2020-12-31,106,0.963735887786521,0.963735887786521,0.963735887786521,0.963735887786521,0.963735887786521,0.892576120424222,0.935682517960999,0.892576120424222,0.963735887786521,0.892576120424222,0.963735887786521,0.483065343824838,0.495039343140609,0.483065343824838,0.963735887786521,NA,NA,NA,NA,NA
"3195",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.941840574751967,0.9483407458091,0.941840574751967,1,NA,0.98460485802258,0.98460485802258,0.98460485802258,0.984262743756415
"3196",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.999657885733835,1,0.999657885733835,1,1,0.999657885733835,0.999657885733835,0.999657885733835,0.99931577146767
"3200",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835
"3266A",2013-01-05,2020-12-31,409,0.860075265138556,0.860075265138556,0.860075265138556,0.860075265138556,0.860075265138556,0.790283954840917,0.722545330140267,0.790283954840917,0.860075265138556,0.790283954840917,0.860075265138556,0.689360246322272,0.705097502565857,0.689360246322272,0.860075265138556,NA,0.799521040027369,0.799521040027369,0.799521040027369,0.799521040027369
"3338",2013-01-01,2020-12-31,385,0.868286007526514,0.868286007526514,0.868286007526514,0.868286007526514,0.868286007526514,0.679781046869654,0.698597331508724,0.679781046869654,0.868286007526514,0.679781046869654,0.868286007526514,0.517276770441327,0.52446117003079,0.517276770441327,0.868286007526514,NA,0.751282928498118,0.751282928498118,0.751282928498118,0.751282928498118
"4549Y",2013-01-01,2020-12-31,16,0.994526171741362,0.994526171741362,0.994526171741362,0.994526171741362,0.994526171741362,0.96578857338351,0.98186794389326,0.96578857338351,0.994526171741362,0.96578857338351,0.994526171741362,0.978104686965447,0.982894286691755,0.978104686965447,0.994526171741362,NA,0.965446459117345,0.965446459117345,0.965446459117345,0.965446459117345
"4560Y",2013-01-01,2020-12-31,46,0.984262743756415,0.984262743756415,0.984262743756415,0.984262743756415,0.984262743756415,0.977762572699282,0.945261717413616,0.977762572699282,0.984262743756415,0.977762572699282,0.984262743756415,0.941156346219637,0.962709544988026,0.941156346219637,0.984262743756415,NA,0.977762572699282,0.977762572699282,0.977762572699282,0.977762572699282
"4642E",2013-01-01,2020-12-31,9,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,0.993841943209032,0.996920971604516,0.993841943209032,0.996920971604516,0.993841943209032,0.996920971604516,0.993841943209032,0.994184057475197,0.993841943209032,0.996920971604516,0.945603831679781,0.986657543619569,0.986657543619569,0.986657543619569,0.986657543619569
"5047E",2013-01-01,2020-12-31,208,0.928840232637701,0.928840232637701,0.928840232637701,0.928840232637701,0.928840232637701,0.919945261717414,0.879233664043791,0.919945261717414,0.928840232637701,0.919945261717414,0.928840232637701,0.748546014368799,0.752651385562778,0.748546014368799,0.928840232637701,0.895997263085871,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919
"5270B",2013-01-01,2020-12-31,0,1,1,1,1,1,0.997947314403011,1,0.997947314403011,1,0.997947314403011,1,0.98186794389326,0.987683886418064,0.98186794389326,1,0.978788915497776,0.992815600410537,0.992815600410537,0.992815600410537,0.992815600410537
"5427X",2013-01-01,2020-12-31,79,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.945603831679781,0.951419774204584,0.945603831679781,0.972972972972973,0.945603831679781,0.972972972972973,0.915839890523435,0.927129661306876,0.915839890523435,0.972972972972973,NA,NA,NA,NA,NA
"5514",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,1,1,1,0.999657885733835,1,0.312350325008553,0.500855285665412,0.312350325008553,1,1,0.999657885733835,0.999657885733835,0.999657885733835,0.998973657201505
"5530E",2013-01-01,2020-12-31,0,1,1,1,1,1,1,0.99931577146767,1,1,1,1,0.99931577146767,0.998973657201505,0.99931577146767,1,1,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767
"5582A",2013-01-01,2020-12-31,320,0.890523434827232,0.890523434827232,0.890523434827232,0.890523434827232,0.890523434827232,0.830653438248375,0.860759493670886,0.830653438248375,0.890523434827232,0.830653438248375,0.890523434827232,0.838522066370168,0.843311666096476,0.838522066370168,0.890523434827232,NA,0.731098186794389,0.731098186794389,0.731098186794389,0.731098186794389
"5612B",2013-01-01,2020-12-31,82,0.971946630174478,0.971946630174478,0.971946630174478,0.971946630174478,0.971946630174478,0.961341087923366,0.96442011631885,0.961341087923366,0.971946630174478,0.961341087923366,0.971946630174478,0.927813889839206,0.946288060212111,0.927813889839206,0.971946630174478,NA,0.969551830311324,0.969551830311324,0.969551830311324,0.969551830311324
"5641X",2013-01-01,2020-12-31,64,0.978104686965447,0.978104686965447,0.978104686965447,0.978104686965447,0.978104686965447,0.932603489565515,0.925076975709887,0.932603489565515,0.978104686965447,0.932603489565515,0.978104686965447,0.926787547040712,0.94765651727677,0.926787547040712,0.978104686965447,NA,0.942524803284297,0.942524803284297,0.942524803284297,0.942524803284297
"5704B",2013-01-01,2020-12-31,53,0.98186794389326,0.98186794389326,0.98186794389326,0.98186794389326,0.98186794389326,0.972630858706808,0.94765651727677,0.972630858706808,0.98186794389326,0.972630858706808,0.98186794389326,0.970920287375984,0.974341430037633,0.970920287375984,0.98186794389326,NA,0.973315087239138,0.973315087239138,0.973315087239138,0.973315087239138
"5783",2013-01-01,2020-12-31,0,1,1,1,1,1,0.990420800547383,1,0.990420800547383,1,0.990420800547383,1,0.981183715360931,0.988368114950393,0.981183715360931,1,0.980157372562436,0.989052343482723,0.989052343482723,0.989052343482723,0.989052343482723
"5796",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.993841943209032,0.998973657201505,0.993841943209032,1,0.996578857338351,0.99931577146767,0.998973657201505,0.99931577146767,0.997947314403011
"5860E",2013-01-01,2020-12-31,60,0.979473144030106,0.979473144030106,0.979473144030106,0.979473144030106,0.979473144030106,0.961683202189531,0.956893602463223,0.961683202189531,0.979473144030106,0.961683202189531,0.979473144030106,0.967841258980499,0.971604515908313,0.967841258980499,0.979473144030106,NA,0.181320561067397,0.181320561067397,0.181320561067397,0.181320561067397
"5910",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,1,1,1,0.99931577146767
"5911A",2013-01-01,2020-12-31,54,0.981525829627095,0.981525829627095,0.981525829627095,0.981525829627095,0.981525829627095,0.969893944577489,0.960998973657202,0.969893944577489,0.981525829627095,0.969893944577489,0.981525829627095,0.977420458433117,0.979131029763941,0.977420458433117,0.981525829627095,NA,0.972288744440643,0.972288744440643,0.972288744440643,0.972288744440643
"5960",2013-01-01,2020-12-31,0,1,1,1,1,1,0.993499828942867,1,0.993499828942867,1,0.993499828942867,1,0.986657543619569,0.992473486144372,0.986657543619569,1,0.997605200136846,0.990762914813548,0.990420800547383,0.990762914813548,0.990420800547383
"5972X",2013-01-01,2020-12-31,18,0.993841943209032,0.993841943209032,0.993841943209032,0.993841943209032,0.993841943209032,0.979131029763941,0.98186794389326,0.979131029763941,0.993841943209032,0.979131029763941,0.993841943209032,0.98392062949025,0.989394457748888,0.98392062949025,0.993841943209032,NA,0.981525829627095,0.981525829627095,0.981525829627095,0.981525829627095
"5973",2013-01-01,2020-12-31,0,1,1,1,1,1,0.997605200136846,1,0.997947314403011,1,0.997605200136846,1,0.98460485802258,0.985973315087239,0.98460485802258,1,0.216558330482381,0.997947314403011,0.997947314403011,0.997605200136846,0.997605200136846
"5995B",2013-01-01,2020-12-31,9,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,0.979473144030106,0.984262743756415,0.979473144030106,0.996920971604516,0.979473144030106,0.996920971604516,0.98186794389326,0.98323640095792,0.98186794389326,0.996920971604516,NA,0.18782073212453,0.18782073212453,0.18782073212453,0.18782073212453
"6001",2013-01-01,2020-12-31,90,0.969209716045159,0.969209716045159,0.969209716045159,0.969209716045159,0.969209716045159,0.946630174478276,0.940472117687308,0.946630174478276,0.969209716045159,0.946630174478276,0.969209716045159,0.915155661991105,0.924050632911392,0.915155661991105,0.969209716045159,NA,0.181320561067397,0.181320561067397,0.181320561067397,0.181320561067397
"6058I",2013-01-01,2020-12-31,115,0.960656859391037,0.960656859391037,0.960656859391037,0.960656859391037,0.960656859391037,0.9161820047896,0.917208347588094,0.9161820047896,0.960656859391037,0.9161820047896,0.960656859391037,0.768046527540198,0.776599384194321,0.768046527540198,0.960656859391037,0.904550119739993,0.815258296270954,0.815258296270954,0.815258296270954,0.815258296270954
"6084X",2013-01-01,2020-12-31,8,0.997263085870681,0.997263085870681,0.997263085870681,0.997263085870681,0.997263085870681,0.934656175162504,0.996236743072186,0.934656175162504,0.997263085870681,0.934656175162504,0.997263085870681,0.983578515224085,0.986657543619569,0.983578515224085,0.997263085870681,NA,0.973315087239138,0.973315087239138,0.973315087239138,0.973315087239138
"6106X",2013-01-01,2020-12-31,289,0.901128977078344,0.901128977078344,0.901128977078344,0.901128977078344,0.901128977078344,0.82962709544988,0.889154977762573,0.82962709544988,0.901128977078344,0.829969209716045,0.901128977078344,0.884707492302429,0.890523434827232,0.884707492302429,0.901128977078344,NA,0.861101607937051,0.861101607937051,0.861101607937051,0.861101607937051
"6155A",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.99863154293534,0.99863154293534,0.99863154293534,1,0.994526171741362,0.99931577146767,0.99931577146767,0.99931577146767,0.998973657201505
"6156X",2013-01-01,2020-12-31,1,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.988710229216558,0.997263085870681,0.988710229216558,0.999657885733835,0.988710229216558,0.999657885733835,0.992473486144372,0.991447143345877,0.992473486144372,0.999657885733835,NA,0.985973315087239,0.985973315087239,0.985973315087239,0.985973315087239
"6205X",2013-01-01,2020-12-31,470,0.839206294902497,0.839206294902497,0.839206294902497,0.839206294902497,0.839206294902497,0.807731782415327,0.793705097502566,0.807731782415327,0.839206294902497,0.807731782415327,0.839206294902497,0.638043106397537,0.663701676359904,0.638043106397537,0.839206294902497,NA,0.722887444406432,0.722887444406432,0.722887444406432,0.722887444406432
"6277B",2013-12-07,2020-12-31,546,0.813205610673965,0.813205610673965,0.813205610673965,0.813205610673965,0.813205610673965,0.787889154977763,0.691070817653096,0.788231269243928,0.813205610673965,0.787889154977763,0.813205610673965,0.780362641122135,0.784468012316114,0.780362641122135,0.813205610673965,NA,0.787204926445433,0.787204926445433,0.787204926445433,0.787204926445433
"6293X",2013-01-01,2020-12-31,334,0.885733835100924,0.885733835100924,0.885733835100924,0.885733835100924,0.885733835100924,0.872733492986658,0.852548751282929,0.872733492986658,0.885733835100924,0.872733492986658,0.885733835100924,0.708860759493671,0.715360930550804,0.708860759493671,0.885733835100924,0.838179952104003,0.872733492986658,0.872733492986658,0.872733492986658,0.872733492986658
"6302A",2013-01-01,2020-12-31,4,0.99863154293534,0.99863154293534,0.99863154293534,0.99863154293534,0.99863154293534,0.973999315771468,0.954840916866233,0.973999315771468,0.99863154293534,0.973999315771468,0.99863154293534,0.985289086554909,0.986315429353404,0.985289086554909,0.99863154293534,NA,0.762914813547725,0.762914813547725,0.762914813547725,0.762914813547725
"6325O",2013-01-01,2020-12-31,0,1,1,1,1,1,0.997947314403011,1,0.997947314403011,1,0.998289428669175,1,0.994526171741362,0.997263085870681,0.994526171741362,1,0.979815258296271,0.996578857338351,0.996578857338351,0.996578857338351,0.996578857338351
"6332X",2013-01-01,2017-09-16,2023,0.307902839548409,0.307902839548409,0.307902839548409,0.307902839548409,0.307902839548409,0.301060554225111,0.297981525829627,0.301060554225111,0.307902839548409,0.301060554225111,0.307902839548409,0.193978788915498,0.198084160109477,0.193978788915498,0.307902839548409,0.301744782757441,0.301402668491276,0.301402668491276,0.301402668491276,0.301402668491276
"6367B",2013-01-01,2020-12-31,0,1,1,1,1,1,0.982210058159425,0.99931577146767,0.982210058159425,1,0.982210058159425,1,0.986657543619569,0.989394457748888,0.986657543619569,1,NA,0.980841601094766,0.980841601094766,0.980841601094766,0.980841601094766
"7002Y",2013-01-01,2020-12-31,0,1,1,1,1,1,0.988710229216558,0.997947314403011,0.989052343482723,1,0.997605200136846,1,0.998289428669175,0.990420800547383,0.998289428669175,1,0.980499486828601,0.990420800547383,0.990420800547383,0.988026000684229,0.988026000684229
"7012C",2013-01-01,2020-12-31,0,1,1,1,1,1,0.982894286691755,0.988368114950393,0.983578515224085,1,0.988368114950393,1,0.988710229216558,0.980841601094766,0.988710229216558,1,NA,NA,NA,NA,NA
"7031",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,0.964762230585015,NA,NA,NA,NA
"7031X",2013-01-01,2020-12-31,0,1,1,1,1,1,0.986657543619569,1,0.987683886418064,1,0.991105029079713,1,0.998289428669175,0.996236743072186,0.998289428669175,1,0.988368114950393,0.996578857338351,0.996578857338351,0.996236743072186,0.996236743072186
"7145D",2013-01-01,2020-12-31,2,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767,0.975025658569962,0.99931577146767,0.977762572699282,0.99931577146767,0.98255217242559,0.99931577146767,0.993157714676702,0.983578515224085,0.993157714676702,0.99931577146767,NA,NA,NA,NA,NA
"7178I",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,1,1,0.999657885733835,1,0.999657885733835
"7228",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.995894628806021,0.998289428669175,0.995894628806021,1,0.999657885733835,0.999657885733835,0.999657885733835,1,0.998973657201505
"7247X",2013-01-01,2020-12-31,71,0.975709887102292,0.975709887102292,0.975709887102292,0.975709887102292,0.975709887102292,0.957577830995552,0.961341087923366,0.957577830995552,0.975709887102292,0.957577830995552,0.975709887102292,0.934998289428669,0.94902497434143,0.934998289428669,0.975709887102292,NA,NA,NA,NA,NA
