"site","start_dt","end_dt","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_6","precip","precip_12","pwc"
"603200-99999",2013-01-09,2021-01-01,1,1,1,1,1,1,1,1,1,3,Inf,1,1,Inf,Inf,24,1,Inf,0
"600300-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"600200-99999",2013-01-01,2021-01-01,1,1,1,1,1,1,1,2,2,3,Inf,2,2,3,Inf,3,1,24,0
"600180-99999",2017-07-12,2020-12-31,1,1,1,1,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,Inf,0
"085510-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,6,1,3,0
"084950-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"084870-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"084820-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,12,0
"084530-99999",2017-07-12,2020-12-31,1,1,1,1,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,0,0
"084520-99999",2017-07-12,2020-12-31,1,1,1,1,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,Inf,0
"084515-99999",2013-01-04,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"084490-13025",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"084330-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,24,0
"084300-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,3,Inf,1,1,1,0
"084190-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"084170-99999",2013-01-02,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,3,Inf,1,1,1,0
"084100-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,24,0
"083970-99999",2013-01-01,2020-12-31,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,6,1,3,0
"083910-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"083905-99999",2013-01-02,2020-12-30,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"083830-99999",2013-01-10,2020-12-31,1,1,1,1,1,1,1,2,1,3,4965,1,1,3,19752,1,1,1,0
"083600-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"083590-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,24,Inf,1,1,27,Inf,1,1,1,0
"083350-99999",2017-07-12,2020-12-31,1,1,1,1,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,0,0
"083060-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,12,0
"083030-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,Inf,0
"083010-99999",2017-07-12,2020-12-31,1,1,1,1,Inf,1,1,Inf,0,0,0,0,0,0,0,0,1,0,0
"082860-99999",2013-01-09,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,1218,Inf,1,1,1,0
"082850-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,0,1,0,0
"082840-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"082270-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"082240-99999",2013-01-01,2020-12-31,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,6,1,3,0
"082230-99999",2013-01-01,2020-12-31,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,6,1,3,0
"082220-99999",2017-07-12,2020-12-31,1,1,1,1,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,Inf,0
"082210-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"082200-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,0,0
"082020-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"082010-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,0,1,0,0
"081860-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,0,1,0,0
"081840-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"081810-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"081800-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,0,0
"081763-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"081710-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,165,Inf,1,1,1,0
"081600-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,12,0
"081570-99999",2013-01-07,2020-12-22,6,6,6,2580,6,6,6,6,6,6,Inf,6,6,2544,Inf,6,2,6,0
"081410-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,3,Inf,1,1,1,0
"081400-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,24,1,3,0
"081300-99999",2013-01-02,2020-12-31,1,1,1,1,1,1,1,2,3,3,Inf,3,3,Inf,Inf,1,1,1,0
"081120-99999",2017-07-12,2020-12-31,1,1,1,Inf,1,1,1,Inf,0,0,0,0,0,0,0,Inf,1,0,0
"080940-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,12,0
"080910-99999",2017-07-12,2020-12-31,1,1,1,Inf,Inf,1,1,Inf,0,0,0,0,0,0,0,Inf,1,0,0
"080850-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080840-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,24,0
"080800-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080750-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,6,1,12,0
"080550-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0
"080530-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,Inf,Inf,1,1,1,0
"080450-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,24,0
"080440-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,Inf,1,1,Inf,Inf,1,1,1,0
"080420-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080290-99999",2013-01-01,2020-12-31,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,6,1,3,0
"080270-99999",2013-01-01,2021-01-01,3,3,3,3,3,3,3,3,3,3,Inf,3,3,6,Inf,6,3,12,0
"080250-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080230-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,177,1,1,3,177,1,1,1,0
"080210-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080150-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,55149,1,1,3,55149,1,1,1,0
"080144-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"080143-99999",2013-05-06,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"080140-99999",2013-01-01,2020-12-21,3,3,3,3,3,3,3,3,3,3,Inf,3,3,3,Inf,6,3,12,0
"080110-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080020-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0
"080010-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,2,1,3,Inf,1,1,81,Inf,1,1,1,0
"077490-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,1,0,0
"076000-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
